feature_id,indicator,frequency
m_0001,"2. 国家统计局从2011年1月开始实施新的工业生产者价格统计调查制度方法。""工业品价格统计""改称为""工业生产者价格统计""，将""工业品出厂价格指数""改称为""工业生产者出厂价格指数""。",M
m_0002,"2. 国家统计局从2011年1月开始实施新的工业生产者价格统计调查制度方法。""工业品价格统计""改称为""工业生产者价格统计""，相应地将""原材料、燃料、动力购进价格指数""改称为""工业生产者购进价格指数""。",M
m_0003,"3. 国家统计局从2011年1月开始实施新的工业生产者价格统计调查制度方法。""工业品价格统计""改称为""工业生产者价格统计""，将""工业品出厂价格指数""改称为""工业生产者出厂价格指数""。",M
m_0004,"3. 进出口数据来源于海关总署。1978年为外贸业务统计数,1980年起为海关进出口统计数。",M
m_0005,31个大城市城镇调查失业率 (%),M
m_0006,"4. 外资数据来源于商务部。从2001年起,外商投资合同金额和实际使用外资额均不包括对外借款。从2007年起商务部不再对外公布外资合同金额数据。",M
m_0007,"4. 进出口数据来源于海关总署。1978年为外贸业务统计数,1980年起为海关进出口统计数。",M
m_0008,5. 发布数据均为季节调整后数据。,M
m_0009,"5. 外资数据来源于商务部。从2001年起,外商投资合同金额和实际使用外资额均不包括对外借款。从2007年起商务部不再对外公布外资合同金额数据。",M
m_0010,6. 发布数据均为季节调整后数据。,M
m_0011,"6. 货币供应量已包含住房公积金中心存款和非存款类金融机构在存款类金融机构的存款。2001年6月起,将证券公司客户保证金计入货币供应量(M2),含在其他存款项内。",M
m_0012,7. 2023年12月起，失业率年龄分组进行了调整，往月数据包含在校生。,M
m_0013,"7. 货币供应量已包含住房公积金中心存款和非存款类金融机构在存款类金融机构的存款。2001年6月起,将证券公司客户保证金计入货币供应量(M2),含在其他存款项内。",M
m_0014,8. 2023年12月起，失业率年龄分组进行了调整，往月数据包含在校生。,M
m_0015,全国城镇调查失业率 (%),M
m_0016,制造业采购经理指数 (%),M
m_0017,商品零售价格指数 (上月=100),M
m_0018,固定资产投资额累计增长 (%),M
m_0019,外商直接投资合同项目数累计值 (个),M
m_0020,居民消费价格指数 (上月=100),M
m_0021,工业生产者出厂价格指数 (上月=100),M
m_0022,工业生产者购进价格指数 (上月=100),M
m_0023,数据来源：国家统计局,M
m_0024,"注：1. 国家统计局从2011年1月开始实施新的工业生产者价格统计调查制度方法。""工业品价格统计""改称为""工业生产者价格统计""，相应地将""原材料、燃料、动力购进价格指数""改称为""工业生产者购进价格指数""。",M
m_0025,注：1. 居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。,M
m_0026,流通中现金 (M0) 供应量_期末值 (亿元),M
m_0027,货币 (M1) 供应量_期末值 (亿元),M
m_0028,货币和准货币 (M2) 供应量_期末值 (亿元),M
m_0029,进出口总值当期值 (千美元),M
m_0030,非制造业商务活动指数 (%),M
q_0001,2. 三次产业分类依据国家统计局2018年修订的《三次产业划分规定》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔专业及辅助性活动）；第二产业是指采矿业（不含开采专业及辅助性活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。,Q
q_0002,3. 行业分类采用《国民经济行业分类（GB/T 4754－2017）》。,Q
q_0003,4. 2015年之前各季度，其他行业包含信息传输、软件和信息技术服务业，租赁和商务服务业，科学研究和技术服务业，水利、环境和公共设施管理业，居民服务、修理和其他服务业，教育，卫生和社会工作，文化、体育和娱乐业，公共管理、社会保障和社会组织共9个门类行业；2015年及之后各季度，其他行业包含科学研究和技术服务业，水利、环境和公共设施管理业，居民服务、修理和其他服务业，教育，卫生和社会工作，文化、体育和娱乐业，公共管理、社会保障和社会组织共7个门类行业。,Q
q_0004,固定资产投资价格指数当季值 (上年同季=100),Q
q_0005,国内生产总值当季值 (亿元),Q
q_0006,工业增加值当季值 (亿元),Q
q_0007,数据来源：国家统计局,Q
q_0008,注：1. 按当年价格计算。累计数据由当季数据相加得到。,Q
