period_end,m_0005,m_0015,m_0016,m_0017,m_0018,m_0019,m_0020,m_0021,m_0022,m_0026,m_0027,m_0028,m_0029,m_0030,available_date
2000-01-31,,,,,,1425.0,99.8,,,16093.9,46570.1,118907.8,32055670.0,,2000-03-01
2000-02-29,,,,,8.6,2475.0,100.7,,,13983.0,44679.2,119353.6,28203989.0,,2000-03-30
2000-03-31,,,,,8.5,4316.0,99.8,,,13235.4,45158.45,120399.58,37960060.0,,2000-04-30
2000-04-30,,,,,9.3,6060.0,99.7,,,13675.5,46319.03,121914.77,38861187.0,,2000-05-30
2000-05-31,,,,,9.5,7724.0,100.1,,,13075.45,46490.23,121902.65,37071604.0,,2000-06-30
2000-06-30,,,,,12.1,10101.0,100.5,,,13006.04,48024.4,124486.78,42494372.0,,2000-07-30
2000-07-31,,,,,12.6,11891.0,100.5,,,13156.47,47803.09,124192.78,40970137.0,,2000-08-30
2000-08-31,,,,,12.7,13787.0,100.3,,,13378.68,48885.38,125673.26,44116925.0,,2000-09-30
2000-09-30,,,,,12.9,15732.0,100.0,,,13894.69,50616.89,128352.61,43688324.0,,2000-10-30
2000-10-31,,,,,12.6,17493.0,100.0,,,13589.45,49952.84,127432.53,41716375.0,,2000-11-30
2000-11-30,,,,,11.7,19700.0,101.3,,,13877.7,50787.49,128887.4,43795763.0,,2000-12-30
2000-12-31,,,,,9.7,22532.0,101.5,,,14652.65,53147.15,132487.52,43400399.0,,2001-01-30
2001-01-31,,,,,,1628.0,100.9,,,17018.98,54406.23,135685.99,32471478.0,,2001-03-02
2001-02-28,,,,,16.7,3205.0,100.1,,,14910.39,51997.68,134390.49,37424240.0,,2001-03-30
2001-03-31,,,,,15.1,5309.0,99.4,,,14362.12,53033.36,136915.12,43911529.0,,2001-04-30
2001-04-30,,,,,16.5,7433.0,100.2,,,14622.99,53261.32,138121.03,44651461.0,,2001-05-30
2001-05-31,,,,,17.6,,99.5,,,13942.28,52542.99,137219.27,39622274.0,,2001-06-30
2001-06-30,,,,,17.9,11991.0,98.8,,,13943.44,55187.36,141885.6,43332569.0,,2001-07-30
2001-07-31,,,,,18.4,14058.0,99.5,,,14071.62,53502.8,140076.48,43843192.0,,2001-08-30
2001-08-31,,,,,18.9,16344.0,100.1,,,14370.13,55808.92,143787.3,45701658.0,,2001-09-30
2001-09-30,,,,,18.2,18585.0,100.9,,,15064.6,56824.0,151822.6,45839966.0,,2001-10-30
2001-10-31,,,,,17.4,20549.0,100.3,,,14484.61,56114.9,146157.58,41692335.0,,2001-11-30
2001-11-30,,,,,16.3,,99.8,,,14780.0,56579.6,154088.3,44844778.0,,2001-12-30
2001-12-31,,,,,13.7,,100.1,,,15688.8,59871.59,152888.5,46892684.0,,2002-01-30
2002-01-31,,,,,,2370.0,100.3,,,16727.06,60577.23,157853.45,40673708.0,,2002-03-02
2002-02-28,,,,,24.5,3963.0,101.1,,,16642.65,58703.97,159182.97,35055616.0,,2002-03-30
2002-03-31,,,,,26.1,6171.0,98.7,,,15545.47,59475.67,162300.93,46301912.0,,2002-04-30
2002-04-30,,,,,27.1,8920.0,99.7,,,15864.91,60462.04,162825.22,52475399.0,,2002-05-30
2002-05-31,,,,,25.8,11612.0,99.7,,,15243.74,61247.53,164268.36,47077295.0,,2002-06-30
2002-06-30,,,,,24.4,15155.0,99.1,,,15098.04,63144.69,167869.41,49106904.0,,2002-07-30
2002-07-31,,,,,24.1,18526.0,99.3,,,15358.29,63488.41,169122.95,56197636.0,,2002-08-30
2002-08-31,,,,,24.2,21470.0,100.3,,,15713.28,64869.5,171524.2,56642337.0,,2002-09-30
2002-09-30,,,,,24.3,24771.0,101.0,,,16234.11,66800.29,175254.87,61704894.0,,2002-10-30
2002-10-31,,,,,24.1,27630.0,100.2,,,16015.18,67100.77,175534.74,55143413.0,,2002-11-30
2002-11-30,,,,,23.4,30728.0,99.9,,,16346.89,67993.28,178018.43,59943788.0,,2002-12-30
2002-12-31,,,,,17.4,34171.0,100.3,,,17278.43,70882.19,183246.94,60622072.0,,2003-01-30
2003-01-31,,,,,,3349.0,101.1,,,21245.12,72406.05,188918.38,60791757.0,,2003-03-02
2003-02-28,,,,,32.8,5392.0,100.9,,,17937.58,69757.05,188444.37,48235241.0,,2003-03-30
2003-03-31,,,,,31.6,8624.0,99.4,,,17106.89,71439.21,192832.44,64640400.0,,2003-04-30
2003-04-30,,,,,30.5,12198.0,99.8,,,17441.44,71321.54,194476.98,70218283.0,,2003-05-30
2003-05-31,,,,,31.7,15175.0,99.3,,,17115.34,72778.15,197811.96,65446377.0,,2003-06-30
2003-06-30,,,,,32.8,18877.0,98.8,,,16957.18,75923.52,203071.74,66812034.0,,2003-07-30
2003-07-31,,,,,32.7,22245.0,99.5,,,17362.4,76153.04,204381.1,74623274.0,,2003-08-30
2003-08-31,,,,,32.4,25730.0,100.7,,,17607.08,77033.3,208692.4,72036403.0,,2003-09-30
2003-09-30,,,,,31.4,29539.0,101.2,,,18306.62,79164.14,211611.5,83593034.0,,2003-10-30
2003-10-31,,,,,30.2,32696.0,100.9,,,18250.94,80267.37,212505.4,76118408.0,,2003-11-30
2003-11-30,,,,,29.6,36616.0,101.0,,,18439.85,80815.22,214358.84,78655255.0,,2003-12-30
2003-12-31,,,,,28.4,41081.0,100.6,,,19746.23,84118.81,219226.81,90397705.0,,2004-01-30
