period_end,q_0004,q_0005,q_0006,available_date
2000-03-31,,21569.1,8798.5,2000-05-30
2000-06-30,101.2,24277.1,9799.6,2000-08-29
2000-09-30,,25973.8,10502.8,2000-11-29
2000-12-31,101.1,29488.6,11157.7,2001-03-01
2001-03-31,,24390.6,9838.0,2001-05-30
2001-06-30,100.6,27017.8,10874.8,2001-08-29
2001-09-30,,28662.0,11294.0,2001-11-29
2001-12-31,100.4,32086.9,11847.5,2002-03-01
2002-03-31,,26666.0,10438.0,2002-05-30
2002-06-30,100.0,29550.7,11716.1,2002-08-29
2002-09-30,,31664.4,12378.4,2002-11-29
2002-12-31,100.2,35430.7,13242.3,2003-03-01
2003-03-31,100.8,30282.0,12127.9,2003-05-30
2003-06-30,101.4,32978.2,13398.5,2003-08-29
2003-09-30,102.4,35778.3,14303.9,2003-11-29
2003-12-31,104.1,40338.8,15531.9,2004-02-29
2004-03-31,107.5,35107.8,14093.6,2004-05-30
2004-06-30,106.1,39251.8,15965.7,2004-08-29
2004-09-30,104.7,42448.0,17019.6,2004-11-29
2004-12-31,103.9,47420.3,18696.0,2005-03-01
2005-03-31,101.8,41079.2,16766.2,2005-05-30
2005-06-30,101.7,45399.8,18925.0,2005-08-29
2005-09-30,101.6,48681.7,20073.1,2005-11-29
2005-12-31,101.2,54746.8,22194.0,2006-03-01
2006-03-31,100.3,47831.7,19734.7,2006-05-30
2006-06-30,101.4,53415.3,22619.9,2006-08-29
2006-09-30,102.2,56820.5,23720.7,2006-11-29
2006-12-31,102.3,64510.8,26160.5,2007-03-01
2007-03-31,102.3,58080.6,23903.3,2007-05-30
2007-06-30,103.5,65751.0,27482.4,2007-08-29
2007-09-30,104.0,70494.1,28741.8,2007-11-29
2007-12-31,105.8,79854.0,31563.3,2008-02-29
2008-03-31,108.6,70609.6,29039.5,2008-05-30
2008-06-30,111.3,79965.0,33719.7,2008-08-29
2008-09-30,111.1,83668.3,34146.8,2008-11-29
2008-12-31,104.8,90075.0,34818.1,2009-03-01
2009-03-31,98.8,75341.3,29382.8,2009-05-30
2009-06-30,96.1,85355.6,33842.3,2009-08-29
2009-09-30,96.4,91330.0,35371.7,2009-11-29
2009-12-31,99.0,102494.7,39495.8,2010-03-01
2010-03-31,101.9,89125.0,35588.2,2010-05-30
2010-06-30,103.6,101075.0,40837.7,2010-08-29
2010-09-30,103.5,107792.9,41795.8,2010-11-29
2010-12-31,105.4,121260.4,46901.5,2011-03-01
2011-03-31,106.5,106218.9,42670.3,2011-05-30
2011-06-30,106.7,120776.8,48964.6,2011-08-29
2011-09-30,107.3,128561.5,49915.8,2011-11-29
2011-12-31,105.7,140150.3,53588.5,2012-02-29
2012-03-31,102.3,119377.5,47151.0,2012-05-30
2012-06-30,101.6,133491.2,52495.9,2012-08-29
2012-09-30,100.2,140384.0,52451.1,2012-11-29
2012-12-31,100.3,154258.0,56803.4,2013-03-01
2013-03-31,100.2,131879.7,50127.3,2013-05-30
2013-06-30,99.9,146113.9,55266.2,2013-08-29
2013-09-30,100.1,154972.1,55882.1,2013-11-29
2013-12-31,100.9,170694.7,61057.5,2014-03-01
2014-03-31,101.1,143539.4,52659.5,2014-05-30
2014-06-30,100.6,159462.4,58432.3,2014-08-29
2014-09-30,100.4,168601.7,58904.0,2014-11-29
2014-12-31,99.9,184179.4,63201.5,2015-03-01
2015-03-31,99.1,154171.4,53471.1,2015-05-30
2015-06-30,98.8,171887.0,59327.9,2015-08-29
2015-09-30,97.7,180118.7,58993.0,2015-11-29
